Country,Sector,Year,Gas,Sample group,Break type,Coefficient,Target p-value,Standard Error,T-stat,P-value
Colombia,Enteric fermentation,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.110,0.010,0.022,5.105,0.000
Colombia,Enteric fermentation,2019,Methane (CH4),OECD with EU15 effects,positive,0.103,0.010,0.022,4.763,0.000
Colombia,Glass Production,2009,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.276,0.050,0.064,4.284,0.000
Colombia,Glass Production,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.276,0.050,0.064,4.284,0.000
Colombia,Glass Production,2010,Carbon dioxide (CO2),OECD,negative,0.345,0.050,0.077,4.472,0.000
Colombia,Glass Production,2010,Carbon dioxide (CO2),OECD,negative,0.285,0.010,0.077,3.701,0.000
Colombia,Glass Production,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.345,0.050,0.077,4.472,0.000
Colombia,Glass Production,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.285,0.010,0.077,3.701,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.187,0.050,0.024,7.727,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.216,0.010,0.025,8.490,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.232,0.001,0.027,8.554,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.206,0.050,0.026,7.994,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.238,0.010,0.026,8.987,0.000
Colombia,Indirect N20 - nitrogen,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.255,0.001,0.030,8.509,0.000
Colombia,Indirect N2O  - managed soils,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.111,0.050,0.023,4.864,0.000
Colombia,Indirect N2O  - managed soils,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.106,0.010,0.026,4.075,0.000
Colombia,Indirect N2O  - managed soils,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.184,0.050,0.023,7.868,0.000
Colombia,Indirect N2O  - managed soils,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.178,0.010,0.027,6.548,0.000
Colombia,Indirect N2O  - managed soils,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.165,0.001,0.031,5.294,0.000
Colombia,Indirect N2O - manure,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.125,0.050,0.021,6.033,0.000
Colombia,Indirect N2O - manure,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.130,0.050,0.021,6.108,0.000
Colombia,Indirect N2O - manure,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.167,0.050,0.024,-6.992,0.000
Colombia,Indirect N2O - manure,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.153,0.050,0.025,-6.237,0.000
Colombia,Indirect N2O - manure,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.194,0.050,0.028,7.060,0.000
Colombia,Indirect N2O - manure,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.159,0.010,0.020,7.923,0.000
Colombia,Indirect N2O - manure,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.185,0.050,0.028,6.504,0.000
Colombia,Indirect N2O - manure,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.181,0.010,0.022,8.368,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.153,0.050,0.024,-6.380,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.212,0.010,0.023,-9.372,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.095,0.001,0.021,-4.436,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.142,0.050,0.025,-5.740,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.218,0.010,0.024,-9.021,0.000
Colombia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.096,0.001,0.020,-4.725,0.000
Colombia,Manufacturing & construction,1997,Methane (CH4),OECD with EU15 effects,positive,0.475,0.050,0.089,5.321,0.000
Colombia,Manufacturing & construction,1997,Methane (CH4),OECD,negative,0.531,0.050,0.089,5.968,0.000
Colombia,Manufacturing & construction,1997,Methane (CH4),OECD,negative,0.542,0.010,0.099,5.489,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,negative,-0.509,0.050,0.051,-10.017,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,negative,-0.418,0.010,0.052,-8.046,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD with EU15 effects,negative,-0.455,0.001,0.057,-8.050,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD,negative,-0.482,0.050,0.051,-9.544,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD,negative,-0.536,0.010,0.056,-9.633,0.000
Colombia,Manufacturing & construction,2004,Methane (CH4),OECD,negative,-0.418,0.001,0.057,-7.306,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.133,0.050,0.014,9.206,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.156,0.010,0.017,8.975,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.148,0.001,0.019,7.689,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.152,0.050,0.015,10.315,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.168,0.010,0.017,9.944,0.000
Colombia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.168,0.001,0.019,8.822,0.000
Colombia,Manure management,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.149,0.010,0.024,6.233,0.000
Colombia,Manure management,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.161,0.001,0.027,6.051,0.000
Colombia,Manure management,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.147,0.050,0.020,7.331,0.000
Colombia,Manure management,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.150,0.010,0.023,6.471,0.000
Colombia,Manure management,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.150,0.001,0.026,5.714,0.000
Colombia,Manure management,2019,Methane (CH4),OECD with EU15 effects,positive,0.121,0.050,0.019,6.444,0.000
Colombia,Manure management,2019,Methane (CH4),OECD with EU15 effects,positive,0.113,0.010,0.022,5.111,0.000
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.394,0.050,0.046,8.647,0.000
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.389,0.010,0.053,7.361,0.000
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.427,0.001,0.061,6.950,0.000
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD,negative,0.211,0.050,0.065,3.265,0.001
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD,negative,0.414,0.010,0.053,7.845,0.000
Colombia,Non-energy fuel products,2000,Carbon dioxide (CO2),OECD,negative,0.513,0.001,0.060,8.510,0.000
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.394,0.050,0.046,8.647,0.000
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.389,0.010,0.053,7.361,0.000
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.427,0.001,0.061,6.950,0.000
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.211,0.050,0.065,3.265,0.001
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.414,0.010,0.053,7.845,0.000
Colombia,Non-energy fuel products,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.513,0.001,0.060,8.510,0.000
Colombia,Non-energy fuel products,2009,Carbon dioxide (CO2),OECD,negative,0.156,0.050,0.037,4.233,0.000
Colombia,Non-energy fuel products,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.156,0.050,0.037,4.233,0.000
Colombia,Non-energy fuel products,2014,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.142,0.050,0.037,3.789,0.000
Colombia,Non-energy fuel products,2014,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.137,0.010,0.043,3.165,0.002
Colombia,Non-energy fuel products,2014,Carbon dioxide (CO2),OECD,negative,0.147,0.010,0.044,3.379,0.001
Colombia,Non-energy fuel products,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.142,0.050,0.037,3.789,0.000
Colombia,Non-energy fuel products,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.137,0.010,0.043,3.165,0.002
Colombia,Non-energy fuel products,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.147,0.010,0.044,3.379,0.001
Colombia,Non-specified,1998,Carbon dioxide (CO2),OECD with EU15 effects,negative,-2.534,0.050,0.475,-5.330,0.000
Colombia,Non-specified,1998,Carbon dioxide (CO2),OECD with EU15 effects,negative,-1.574,0.010,0.495,-3.178,0.002
Colombia,Non-specified,1998,Carbon dioxide (CO2),OECD,negative,-2.276,0.050,0.457,-4.985,0.000
Colombia,Non-specified,1998,Carbon dioxide (CO2),OECD,negative,-2.283,0.010,0.481,-4.747,0.000
Colombia,Non-specified,2013,Carbon dioxide (CO2),OECD,negative,6.259,0.010,0.343,18.246,0.000
Colombia,Non-specified,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,5.442,0.050,0.335,16.246,0.000
Colombia,Non-specified,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,5.466,0.010,0.355,15.408,0.000
Colombia,Non-specified,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,5.584,0.050,0.309,18.076,0.000
Colombia,Non-specified,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,5.596,0.010,0.338,16.532,0.000
Colombia,Non-specified,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,5.503,0.001,0.411,13.403,0.000
Colombia,Non-specified,2013,Methane (CH4),OECD,negative,1.101,0.050,0.306,3.594,0.000
Colombia,Non-specified,2014,Carbon dioxide (CO2),OECD with EU15 effects,positive,5.296,0.010,0.355,14.928,0.000
Colombia,Non-specified,2014,Carbon dioxide (CO2),OECD with EU15 effects,positive,4.939,0.001,0.547,9.033,0.000
Colombia,Non-specified,2014,Carbon dioxide (CO2),OECD,negative,4.978,0.001,0.557,8.937,0.000
Colombia,Non-specified,2020,Methane (CH4),OECD,negative,2.406,0.050,0.464,5.181,0.000
Colombia,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.896,0.001,0.050,17.826,0.000
Colombia,Other product manufacture,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,1.069,0.001,0.053,20.002,0.000
Colombia,Other product manufacture,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.204,0.050,0.046,4.421,0.000
Colombia,Other product manufacture,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.249,0.010,0.051,4.856,0.000
Colombia,Other product manufacture,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.196,0.050,0.048,4.068,0.000
Colombia,Other product manufacture,2014,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.199,0.010,0.059,3.385,0.001
Colombia,Residential,1997,Methane (CH4),OECD with EU15 effects,negative,-0.498,0.050,0.074,-6.696,0.000
Colombia,Residential,1997,Methane (CH4),OECD with EU15 effects,negative,-0.478,0.010,0.084,-5.701,0.000
Colombia,Residential,1997,Methane (CH4),OECD,negative,-0.535,0.050,0.073,-7.304,0.000
Colombia,Residential,1997,Methane (CH4),OECD,negative,-0.472,0.010,0.083,-5.671,0.000
Colombia,Residential,2013,Methane (CH4),OECD with EU15 effects,positive,0.367,0.050,0.042,8.776,0.000
Colombia,Residential,2013,Methane (CH4),OECD with EU15 effects,positive,0.313,0.010,0.046,6.752,0.000
Colombia,Residential,2013,Methane (CH4),OECD with EU15 effects,positive,0.317,0.001,0.052,6.067,0.000
Colombia,Residential,2013,Methane (CH4),OECD,negative,0.272,0.050,0.041,6.614,0.000
Colombia,Residential,2013,Methane (CH4),OECD,negative,0.286,0.010,0.046,6.195,0.000
Colombia,Residential,2013,Methane (CH4),OECD,negative,0.305,0.001,0.052,5.850,0.000
Colombia,Rice cultivations,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.342,0.050,0.066,5.199,0.000
Colombia,Rice cultivations,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.425,0.010,0.074,5.720,0.000
Colombia,Rice cultivations,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.457,0.001,0.081,5.625,0.000
Colombia,Rice cultivations,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.304,0.050,0.070,4.337,0.000
Colombia,Rice cultivations,2001,Methane (CH4),OECD with EU15 effects,positive,0.342,0.050,0.066,5.199,0.000
Colombia,Rice cultivations,2001,Methane (CH4),OECD with EU15 effects,positive,0.425,0.010,0.074,5.720,0.000
Colombia,Rice cultivations,2001,Methane (CH4),OECD with EU15 effects,positive,0.457,0.001,0.081,5.625,0.000
Colombia,Rice cultivations,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.405,0.010,0.067,6.011,0.000
Colombia,Rice cultivations,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.368,0.001,0.068,5.384,0.000
Colombia,Rice cultivations,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.317,0.050,0.069,4.594,0.000
Colombia,Rice cultivations,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.253,0.050,0.081,3.114,0.002
Colombia,Rice cultivations,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.240,0.010,0.088,2.731,0.007
Colombia,Rice cultivations,2019,Methane (CH4),OECD with EU15 effects,positive,0.253,0.050,0.081,3.114,0.002
Colombia,Rice cultivations,2019,Methane (CH4),OECD with EU15 effects,positive,0.240,0.010,0.088,2.731,0.007
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD with EU15 effects,negative,-0.150,0.050,0.022,-6.853,0.000
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD with EU15 effects,negative,-0.184,0.010,0.024,-7.784,0.000
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD with EU15 effects,negative,-0.175,0.001,0.028,-6.259,0.000
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD,negative,-0.155,0.050,0.022,-7.016,0.000
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD,negative,-0.177,0.010,0.022,-7.944,0.000
Colombia,Road transport,2002,Carbon dioxide (CO2),OECD,negative,-0.180,0.001,0.027,-6.637,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.150,0.050,0.022,-6.833,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.177,0.010,0.024,-7.385,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.174,0.001,0.028,-6.189,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.135,0.050,0.021,-6.572,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.177,0.010,0.022,-7.910,0.000
Colombia,Road transport,2002,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.186,0.001,0.027,-6.829,0.000
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.107,0.050,0.021,5.116,0.000
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.116,0.010,0.022,5.176,0.000
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.127,0.001,0.026,4.812,0.000
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD,negative,0.064,0.050,0.029,2.197,0.028
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD,negative,0.094,0.010,0.030,3.139,0.002
Colombia,Road transport,2012,Carbon dioxide (CO2),OECD,negative,0.154,0.001,0.026,6.014,0.000
Colombia,Road transport,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.116,0.050,0.021,5.545,0.000
Colombia,Road transport,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.131,0.010,0.023,5.820,0.000
Colombia,Road transport,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.130,0.001,0.027,4.899,0.000
Colombia,Road transport,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.096,0.010,0.030,3.216,0.001
Colombia,Road transport,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.154,0.001,0.026,5.984,0.000
Colombia,Road transport,2012,Methane (CH4),OECD with EU15 effects,positive,0.409,0.050,0.035,11.661,0.000
Colombia,Road transport,2012,Methane (CH4),OECD with EU15 effects,positive,0.389,0.010,0.039,10.051,0.000
Colombia,Road transport,2012,Methane (CH4),OECD with EU15 effects,positive,0.439,0.001,0.043,10.106,0.000
Colombia,Road transport,2012,Methane (CH4),OECD,negative,0.362,0.010,0.073,4.996,0.000
Colombia,Road transport,2012,Methane (CH4),OECD,negative,0.528,0.001,0.047,11.135,0.000
Colombia,Road transport,2014,Methane (CH4),OECD,negative,0.207,0.010,0.075,2.765,0.006
Colombia,Road transport,2015,Carbon dioxide (CO2),OECD,negative,0.085,0.050,0.030,2.840,0.005
Colombia,Road transport,2015,Carbon dioxide (CO2),OECD,negative,0.089,0.010,0.032,2.807,0.005
Colombia,Road transport,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.132,0.050,0.022,6.042,0.000
Colombia,Road transport,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.089,0.010,0.032,2.806,0.005
Colombia,Road transport,2021,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.223,0.001,0.044,5.063,0.000
Colombia,Road transport,2021,Carbon dioxide (CO2),OECD,negative,0.251,0.001,0.043,5.907,0.000
Colombia,Road transport,2021,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.223,0.001,0.044,5.043,0.000
Colombia,Road transport,2021,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.250,0.001,0.043,5.836,0.000
Colombia,Solid fuels,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,1.269,0.050,0.243,5.226,0.000
Colombia,Solid fuels,2000,Methane (CH4),OECD,negative,1.211,0.050,0.193,6.259,0.000
Colombia,Solid waste disposal,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.943,0.050,0.144,6.547,0.000
Colombia,Solid waste disposal,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.934,0.050,0.140,6.686,0.000
Colombia,Solid waste disposal,2009,Methane (CH4),OECD with EU15 effects,positive,0.706,0.050,0.167,4.234,0.000
Colombia,Solid waste disposal,2009,Methane (CH4),OECD with EU15 effects,positive,0.705,0.010,0.144,4.887,0.000
Colombia,Solid waste disposal,2014,Methane (CH4),OECD with EU15 effects,positive,0.364,0.050,0.174,2.093,0.037
Colombia,Substitutes for ODS,2000,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.505,0.050,0.089,5.680,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD with EU15 effects,negative,-3.144,0.050,0.125,-25.232,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD with EU15 effects,negative,-3.114,0.010,0.129,-24.199,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD with EU15 effects,negative,-3.114,0.001,0.138,-22.509,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD,negative,-3.210,0.050,0.120,-26.646,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD,negative,-3.134,0.010,0.127,-24.748,0.000
Colombia,Water-borne navigation,2013,Carbon dioxide (CO2),OECD,negative,-3.119,0.001,0.136,-22.894,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-3.144,0.050,0.125,-25.233,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-3.114,0.010,0.129,-24.200,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-3.114,0.001,0.138,-22.510,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-3.210,0.050,0.120,-26.647,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-3.134,0.010,0.127,-24.749,0.000
Colombia,Water-borne navigation,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-3.119,0.001,0.136,-22.895,0.000
Colombia,Water-borne navigation,2013,Methane (CH4),OECD with EU15 effects,negative,-3.110,0.001,0.128,-24.222,0.000
Colombia,Water-borne navigation,2013,Methane (CH4),OECD,negative,-3.131,0.001,0.126,-24.832,0.000
Costa Rica,Carbonate uses,2016,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.879,0.050,0.220,3.994,0.000
Costa Rica,Carbonate uses,2016,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.750,0.010,0.226,3.319,0.001
Costa Rica,Carbonate uses,2016,Carbon dioxide (CO2),OECD,negative,0.679,0.050,0.218,3.112,0.002
Costa Rica,Carbonate uses,2016,Carbon dioxide (CO2),OECD,negative,0.717,0.010,0.222,3.238,0.001
Costa Rica,Carbonate uses,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.879,0.050,0.220,3.994,0.000
Costa Rica,Carbonate uses,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.750,0.010,0.226,3.319,0.001
Costa Rica,Carbonate uses,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.679,0.050,0.218,3.112,0.002
Costa Rica,Carbonate uses,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.717,0.010,0.222,3.238,0.001
Costa Rica,Cement production,2004,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.283,0.050,0.093,3.035,0.002
Costa Rica,Cement production,2004,Carbon dioxide (CO2),OECD,negative,0.369,0.050,0.096,3.845,0.000
Costa Rica,Cement production,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.283,0.050,0.093,3.035,0.002
Costa Rica,Cement production,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.369,0.050,0.096,3.845,0.000
Costa Rica,Cement production,2017,Carbon dioxide (CO2),OECD,negative,-0.376,0.050,0.106,-3.556,0.000
Costa Rica,Cement production,2017,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.376,0.050,0.106,-3.556,0.000
Costa Rica,Chemical industry,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-3.958,0.050,0.146,-27.085,0.000
Costa Rica,Chemical industry,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-3.990,0.010,0.153,-26.106,0.000
Costa Rica,Chemical industry,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-4.058,0.050,0.168,-24.105,0.000
Costa Rica,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.564,0.050,0.145,3.891,0.000
Costa Rica,Chemical industry,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.567,0.050,0.123,4.606,0.000
Costa Rica,Chemical industry,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.503,0.010,0.129,3.906,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD with EU15 effects,positive,1.322,0.050,0.157,8.412,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD with EU15 effects,positive,1.422,0.010,0.160,8.911,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD with EU15 effects,positive,1.399,0.001,0.360,3.884,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD,negative,1.401,0.050,0.163,8.590,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD,negative,1.375,0.010,0.164,8.374,0.000
Costa Rica,Civil aviation,2004,Carbon dioxide (CO2),OECD,negative,1.238,0.001,0.347,3.570,0.000
Costa Rica,Civil aviation,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,1.322,0.050,0.157,8.411,0.000
Costa Rica,Civil aviation,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,1.422,0.010,0.160,8.910,0.000
Costa Rica,Civil aviation,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,1.399,0.001,0.360,3.882,0.000
Costa Rica,Civil aviation,2004,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,1.401,0.050,0.163,8.589,0.000
