gas,sample,sector,target p-value,country,year,coef,std.error,t-stat,p-value,break direction
all_ghg,OECD,Direct N2O - managed soils,0.05,Latvia,2015,0.227,0.033,6.862,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Mexico,2000,0.108,0.022,4.864,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Mexico,2013,0.113,0.018,6.202,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Netherlands,2011,-0.097,0.016,-6.037,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.05,NewZealand,2002,0.144,0.019,7.785,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Poland,2013,-0.110,0.018,-5.970,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.05,SlovakRepublic,2014,0.088,0.019,4.761,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Slovenia,1998,0.302,0.028,10.837,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,Slovenia,2007,-0.225,0.044,-5.115,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.05,Turkiye,2016,0.128,0.024,5.291,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.05,UnitedStates,2003,0.107,0.019,5.580,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Canada,2006,0.178,0.023,7.626,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Canada,2012,0.169,0.024,7.124,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Switzerland,2012,-0.109,0.018,-6.077,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Chile,2010,-0.094,0.029,-3.234,0.001,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Chile,2013,-0.141,0.030,-4.693,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Colombia,2001,0.151,0.024,6.329,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Colombia,2011,-0.114,0.020,-5.663,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,CostaRica,2000,-0.156,0.024,-6.451,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Czechia,2013,0.149,0.023,6.387,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Czechia,2018,-0.141,0.038,-3.681,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Czechia,2020,-0.141,0.042,-3.378,0.001,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Germany,2017,-0.141,0.022,-6.539,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Estonia,2012,0.224,0.021,10.819,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Finland,1998,0.218,0.028,7.793,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,France,2020,-0.156,0.028,-5.542,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,UnitedKingdom,2001,-0.109,0.022,-5.068,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Greece,2004,-0.138,0.019,-7.243,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Ireland,2018,-0.231,0.025,-9.438,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Iceland,2013,-0.164,0.020,-8.287,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Israel,2003,0.136,0.020,6.639,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Japan,2014,-0.105,0.019,-5.478,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Lithuania,2001,0.260,0.027,9.586,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Latvia,2015,0.257,0.022,11.611,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Mexico,2007,0.124,0.020,6.240,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Mexico,2017,0.093,0.024,3.914,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Netherlands,2011,-0.101,0.018,-5.745,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,NewZealand,2002,0.140,0.020,6.881,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Poland,2013,-0.133,0.020,-6.669,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,SlovakRepublic,2008,-0.086,0.023,-3.711,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,SlovakRepublic,2014,0.134,0.024,5.537,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Slovenia,1998,0.293,0.031,9.578,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,Slovenia,2007,-0.476,0.019,-24.528,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.01,Turkiye,2016,0.165,0.023,7.094,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.01,UnitedStates,2003,0.117,0.021,5.602,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Canada,2006,0.187,0.027,6.790,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Canada,2012,0.191,0.027,6.974,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Chile,2013,-0.205,0.022,-9.438,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Germany,2017,-0.126,0.025,-5.011,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Estonia,2012,0.256,0.023,11.172,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Finland,1998,0.230,0.033,6.988,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Greece,2004,-0.125,0.022,-5.588,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Ireland,2018,-0.216,0.029,-7.568,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Iceland,2013,-0.150,0.023,-6.515,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Israel,2003,0.152,0.024,6.402,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,"Korea,Rep",1999,-0.245,0.031,-7.871,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Lithuania,2001,0.268,0.031,8.712,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Latvia,2015,0.265,0.025,10.454,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Mexico,2007,0.138,0.023,5.880,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Mexico,2017,0.102,0.028,3.674,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,NewZealand,2002,0.154,0.024,6.478,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Poland,2013,-0.121,0.023,-5.262,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Slovenia,1998,0.296,0.036,8.219,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,Slovenia,2007,-0.464,0.023,-20.381,0.000,negative
all_ghg,OECD,Direct N2O - managed soils,0.001,Turkiye,2016,0.205,0.026,7.882,0.000,positive
all_ghg,OECD,Direct N2O - managed soils,0.001,UnitedStates,2003,0.133,0.024,5.438,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Canada,2005,-0.272,0.049,-5.541,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Chile,2010,0.376,0.095,3.953,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Chile,2012,0.395,0.093,4.225,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Colombia,2013,0.715,0.052,13.805,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,CostaRica,1999,-0.709,0.106,-6.701,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,CostaRica,2005,0.560,0.136,4.121,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,CostaRica,2006,0.899,0.130,6.905,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,CostaRica,2015,-1.242,0.099,-12.599,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Denmark,2011,-0.489,0.054,-9.119,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Estonia,2001,0.211,0.069,3.073,0.002,positive
all_ghg,OECD,Electricity and heat,0.05,Estonia,2010,0.422,0.058,7.234,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Estonia,2019,-0.755,0.074,-10.225,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,UnitedKingdom,2015,-0.647,0.052,-12.549,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Ireland,2003,-0.265,0.056,-4.781,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Ireland,2018,-0.339,0.066,-5.100,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Iceland,1998,-0.278,0.087,-3.188,0.001,negative
all_ghg,OECD,Electricity and heat,0.05,Iceland,2007,0.598,0.131,4.565,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Iceland,2009,-0.734,0.149,-4.935,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Iceland,2013,0.460,0.106,4.360,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Iceland,2017,-0.541,0.107,-5.059,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Japan,2011,0.518,0.048,10.805,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,"Korea,Rep",2004,0.194,0.070,2.793,0.005,positive
all_ghg,OECD,Electricity and heat,0.05,"Korea,Rep",2009,0.371,0.066,5.647,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Lithuania,2013,-0.368,0.057,-6.417,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Luxembourg,1998,-0.736,0.112,-6.591,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Luxembourg,2002,0.825,0.114,7.233,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,Luxembourg,2016,-0.513,0.100,-5.114,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Latvia,2013,0.255,0.055,4.623,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,NewZealand,1997,0.598,0.090,6.625,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,SlovakRepublic,2006,-0.215,0.051,-4.252,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,Slovenia,2016,0.182,0.055,3.320,0.001,positive
all_ghg,OECD,Electricity and heat,0.05,Turkiye,2008,0.397,0.052,7.614,0.000,positive
all_ghg,OECD,Electricity and heat,0.05,UnitedStates,2006,-0.339,0.056,-6.089,0.000,negative
all_ghg,OECD,Electricity and heat,0.05,UnitedStates,2017,-0.221,0.063,-3.497,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Canada,2005,-0.291,0.056,-5.225,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Chile,2010,0.379,0.144,2.630,0.009,positive
all_ghg,OECD,Electricity and heat,0.01,Chile,2011,0.449,0.145,3.104,0.002,positive
all_ghg,OECD,Electricity and heat,0.01,Colombia,2013,0.701,0.057,12.326,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,CostaRica,1999,-0.861,0.107,-8.044,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,CostaRica,2005,0.554,0.156,3.561,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,CostaRica,2006,0.879,0.149,5.902,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,CostaRica,2015,-1.266,0.112,-11.256,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Denmark,2012,-0.703,0.054,-12.938,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Estonia,2010,0.482,0.061,7.865,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,Estonia,2019,-0.768,0.084,-9.131,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,UnitedKingdom,2015,-0.659,0.059,-11.191,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Ireland,2006,-0.329,0.058,-5.625,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Ireland,2020,-0.401,0.092,-4.378,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Iceland,1998,-0.275,0.099,-2.779,0.006,negative
all_ghg,OECD,Electricity and heat,0.01,Iceland,2007,0.577,0.150,3.852,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,Iceland,2009,-0.915,0.155,-5.884,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Iceland,2013,0.639,0.099,6.483,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,Iceland,2017,-0.906,0.091,-9.960,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Japan,2011,0.525,0.055,9.599,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,"Korea,Rep",2009,0.425,0.059,7.170,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,Lithuania,2013,-0.460,0.061,-7.566,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Luxembourg,1998,-0.741,0.128,-5.809,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,Luxembourg,2002,0.800,0.130,6.142,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,Luxembourg,2016,-0.697,0.097,-7.207,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,NewZealand,1997,0.597,0.103,5.788,0.000,positive
all_ghg,OECD,Electricity and heat,0.01,UnitedStates,2006,-0.365,0.063,-5.842,0.000,negative
all_ghg,OECD,Electricity and heat,0.01,UnitedStates,2017,-0.235,0.072,-3.274,0.001,negative
all_ghg,OECD,Electricity and heat,0.001,Chile,2011,0.802,0.065,12.435,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,Colombia,2013,0.700,0.066,10.628,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,CostaRica,1999,-0.731,0.119,-6.120,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,CostaRica,2006,1.435,0.092,15.521,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,CostaRica,2015,-1.628,0.098,-16.546,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Denmark,2012,-0.696,0.063,-10.991,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Estonia,2010,0.475,0.071,6.683,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,Estonia,2019,-0.751,0.098,-7.660,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,UnitedKingdom,2015,-0.660,0.069,-9.626,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Ireland,2006,-0.406,0.066,-6.168,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Iceland,2017,-0.677,0.082,-8.260,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Japan,2011,0.522,0.064,8.203,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,Lithuania,2013,-0.491,0.071,-6.956,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Luxembourg,2002,0.616,0.095,6.481,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,Luxembourg,2016,-1.083,0.079,-13.621,0.000,negative
all_ghg,OECD,Electricity and heat,0.001,Norway,2009,1.239,0.062,19.937,0.000,positive
all_ghg,OECD,Electricity and heat,0.001,UnitedStates,2006,-0.477,0.067,-7.113,0.000,negative
all_ghg,OECD,Electronics industry,0.05,Switzerland,2004,1.369,0.308,4.439,0.000,positive
all_ghg,OECD,Electronics industry,0.05,Ireland,2001,-1.524,0.398,-3.831,0.000,negative
all_ghg,OECD,Electronics industry,0.05,Ireland,2014,-2.084,0.347,-6.004,0.000,negative
all_ghg,OECD,Electronics industry,0.05,Sweden,2000,-0.958,0.429,-2.231,0.026,negative
all_ghg,OECD,Electronics industry,0.01,Switzerland,2004,1.369,0.310,4.416,0.000,positive
all_ghg,OECD,Electronics industry,0.01,Ireland,2001,-1.477,0.399,-3.700,0.000,negative
all_ghg,OECD,Electronics industry,0.01,Ireland,2014,-2.081,0.349,-5.964,0.000,negative
all_ghg,OECD,Electronics industry,0.001,Czechia,1997,15.606,0.529,29.509,0.000,positive
all_ghg,OECD,Electronics industry,0.001,Ireland,2014,-2.222,0.362,-6.133,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Australia,2008,-0.093,0.017,-5.613,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Australia,2016,-0.120,0.020,-6.145,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Belgium,2001,-0.053,0.019,-2.855,0.004,negative
all_ghg,OECD,Enteric fermentation,0.05,Belgium,2011,-0.117,0.015,-7.570,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Chile,2010,-0.046,0.023,-1.999,0.046,negative
all_ghg,OECD,Enteric fermentation,0.05,Colombia,2012,-0.139,0.018,-7.930,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Colombia,2018,0.175,0.022,8.038,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,CostaRica,2003,-0.160,0.022,-7.184,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,CostaRica,2007,0.115,0.022,5.311,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,CostaRica,2017,0.115,0.020,5.771,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Czechia,2004,-0.087,0.015,-5.911,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Germany,2018,-0.074,0.018,-4.122,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Estonia,2013,0.142,0.016,9.113,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,UnitedKingdom,2007,-0.059,0.014,-4.256,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Hungary,2018,0.125,0.018,6.831,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Ireland,2018,-0.151,0.020,-7.597,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Iceland,2006,0.080,0.016,5.062,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Israel,2000,0.092,0.019,4.731,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Israel,2013,0.152,0.016,9.421,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Italy,2018,0.114,0.018,6.214,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,"Korea,Rep",2009,0.079,0.020,3.894,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Lithuania,2018,-0.104,0.020,-5.249,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Latvia,1999,-0.184,0.022,-8.237,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Latvia,2012,0.080,0.028,2.864,0.004,positive
all_ghg,OECD,Enteric fermentation,0.05,Latvia,2014,0.077,0.028,2.748,0.006,positive
all_ghg,OECD,Enteric fermentation,0.05,Mexico,2002,0.119,0.017,7.110,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Mexico,2017,0.106,0.017,6.051,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Norway,2008,-0.063,0.014,-4.573,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Poland,2001,-0.085,0.018,-4.841,0.000,negative
all_ghg,OECD,Enteric fermentation,0.05,Portugal,2015,0.132,0.016,8.529,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,SlovakRepublic,2004,-0.081,0.038,-2.111,0.035,negative
all_ghg,OECD,Enteric fermentation,0.05,Slovenia,2008,0.109,0.016,6.812,0.000,positive
all_ghg,OECD,Enteric fermentation,0.05,Sweden,2010,-0.041,0.019,-2.227,0.026,negative
all_ghg,OECD,Enteric fermentation,0.05,Sweden,2015,-0.076,0.020,-3.732,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Australia,2008,-0.080,0.020,-4.026,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Australia,2016,-0.134,0.023,-5.923,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Belgium,2011,-0.136,0.017,-8.163,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Chile,2013,-0.275,0.018,-15.560,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,CostaRica,2017,0.138,0.021,6.588,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Czechia,2004,-0.083,0.018,-4.676,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Germany,2018,-0.085,0.022,-3.942,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Estonia,2013,0.144,0.018,7.781,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,UnitedKingdom,2007,-0.058,0.017,-3.458,0.001,negative
all_ghg,OECD,Enteric fermentation,0.01,Ireland,2018,-0.138,0.023,-5.882,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Iceland,2006,0.084,0.019,4.536,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Israel,2013,0.192,0.018,10.383,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,"Korea,Rep",1999,-0.162,0.029,-5.510,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,"Korea,Rep",2008,0.248,0.024,10.419,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,"Korea,Rep",2020,0.150,0.028,5.318,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Lithuania,2018,-0.110,0.023,-4.703,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Latvia,1999,-0.194,0.026,-7.459,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Latvia,2012,0.158,0.019,8.191,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Mexico,2002,0.127,0.020,6.289,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Mexico,2017,0.101,0.021,4.787,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Portugal,2015,0.123,0.019,6.596,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,SlovakRepublic,2005,-0.346,0.018,-19.195,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Slovenia,2001,0.144,0.024,5.957,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Slovenia,2008,0.099,0.020,4.937,0.000,positive
all_ghg,OECD,Enteric fermentation,0.01,Sweden,2015,-0.106,0.018,-5.824,0.000,negative
all_ghg,OECD,Enteric fermentation,0.01,Turkiye,2013,0.198,0.023,8.443,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Australia,2015,-0.183,0.022,-8.395,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,Belgium,2011,-0.139,0.019,-7.235,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,Chile,2013,-0.270,0.020,-13.277,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,CostaRica,2017,0.134,0.024,5.598,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Estonia,2013,0.160,0.021,7.643,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Ireland,2018,-0.118,0.027,-4.416,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,Israel,2013,0.185,0.021,8.747,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Japan,2008,0.421,0.020,21.572,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,"Korea,Rep",1999,-0.279,0.034,-8.258,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,"Korea,Rep",2004,0.137,0.034,4.076,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,"Korea,Rep",2008,0.293,0.029,10.174,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Latvia,2013,0.148,0.022,6.820,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Mexico,2002,0.145,0.022,6.494,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,SlovakRepublic,2005,-0.325,0.021,-15.844,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,Slovenia,2001,0.148,0.028,5.305,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Slovenia,2008,0.103,0.023,4.447,0.000,positive
all_ghg,OECD,Enteric fermentation,0.001,Sweden,2015,-0.109,0.021,-5.186,0.000,negative
all_ghg,OECD,Enteric fermentation,0.001,Turkiye,2013,0.283,0.024,11.999,0.000,positive
all_ghg,OECD,Fossil fuel fires,0.05,Australia,2007,0.000,0.000,-2.242,0.036,negative
all_ghg,OECD,Fossil fuel fires,0.05,Australia,2013,0.000,0.000,-3.089,0.006,negative
all_ghg,OECD,Glass Production,0.05,Australia,2009,0.363,0.076,4.753,0.000,positive
all_ghg,OECD,Glass Production,0.05,Chile,2009,0.207,0.075,2.755,0.006,positive
all_ghg,OECD,Glass Production,0.05,Colombia,2009,0.239,0.075,3.165,0.002,positive
all_ghg,OECD,Glass Production,0.05,Finland,2010,-2.101,0.072,-29.162,0.000,negative
all_ghg,OECD,Glass Production,0.05,Israel,2009,0.297,0.078,3.810,0.000,positive
all_ghg,OECD,Glass Production,0.05,"Korea,Rep",2009,0.345,0.083,4.160,0.000,positive
all_ghg,OECD,Glass Production,0.05,Poland,2009,0.755,0.079,9.576,0.000,positive
all_ghg,OECD,Glass Production,0.05,Turkiye,2010,0.645,0.110,5.843,0.000,positive
all_ghg,OECD,Glass Production,0.05,Turkiye,2014,0.394,0.116,3.386,0.001,positive
all_ghg,OECD,Glass Production,0.01,Finland,2010,-2.103,0.074,-28.490,0.000,negative
all_ghg,OECD,Glass Production,0.01,Poland,2009,0.623,0.078,7.991,0.000,positive
all_ghg,OECD,Glass Production,0.01,Turkiye,2010,0.688,0.081,8.499,0.000,positive
all_ghg,OECD,Glass Production,0.001,Finland,2010,-2.107,0.077,-27.490,0.000,negative
all_ghg,OECD,Glass Production,0.001,Turkiye,2010,0.610,0.083,7.319,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Australia,2008,-0.172,0.052,-3.319,0.001,negative
all_ghg,OECD,Incineration of waste,0.05,Belgium,2001,-0.165,0.066,-2.492,0.013,negative
all_ghg,OECD,Incineration of waste,0.05,Belgium,2012,-0.506,0.056,-9.066,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Canada,2008,-0.316,0.050,-6.268,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,CostaRica,2008,-0.498,0.063,-7.953,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,CostaRica,2017,-0.166,0.069,-2.400,0.017,negative
all_ghg,OECD,Incineration of waste,0.05,Estonia,2001,-0.237,0.069,-3.447,0.001,negative
all_ghg,OECD,Incineration of waste,0.05,UnitedKingdom,2010,-0.491,0.050,-9.753,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Greece,2013,-0.242,0.083,-2.901,0.004,negative
all_ghg,OECD,Incineration of waste,0.05,Greece,2016,0.741,0.090,8.242,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Hungary,2008,-0.595,0.062,-9.613,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Ireland,2012,-0.688,0.054,-12.837,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Iceland,2001,-0.574,0.074,-7.723,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Iceland,2008,-0.258,0.082,-3.144,0.002,negative
all_ghg,OECD,Incineration of waste,0.05,Iceland,2014,0.529,0.079,6.686,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Japan,2009,-0.358,0.052,-6.936,0.000,negative
all_ghg,OECD,Incineration of waste,0.05,Lithuania,2014,0.381,0.063,6.087,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Luxembourg,2006,0.470,0.056,8.415,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Latvia,2012,0.142,0.072,1.981,0.048,positive
all_ghg,OECD,Incineration of waste,0.05,Mexico,2013,0.532,0.053,10.099,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Netherlands,2006,0.681,0.051,13.326,0.000,positive
all_ghg,OECD,Incineration of waste,0.05,Norway,2006,0.674,0.051,13.133,0.000,positive
